,PSV,IF,IGL,LT,INC,ADP,VISl6a,DCO,VCO,ISN,KF,LC,LGd,LGv,LAV,APN,SUV,LPO,RT,AVP,VISpl2/3,AVPV,MA,BLAp,SG,SGN,BST,SPFp,SPVI,MPO,ENTm1,SUT,ENTm2,ACVII,NDB,V,NOT,VAL,VI,ENTm3,VM,VLPO,VPL,ENTm5,VPM,ZI,PARN,VISpl4,VISpl5,VISal2/3,ENTl,RSPagl2/3,VISl2/3,PO,GPe,POL,GPi,MGm,PS,DG-mo
PSV,0.0006746910725997133,5.304033235589021e-06,1.5268159518930822e-06,1.7016199726481276e-05,0.00029335761632065695,5.418844027118973e-08,3.34395777803901e-13,0.0009321386107747045,0.0005048366496957954,0.00010925823382626971,0.0016275793438319083,0.0005309362313656167,9.389771520803675e-07,2.37747515577783e-06,0.000496633011189981,6.515937748884776e-05,0.00033185061756268585,4.784716157393562e-06,5.887830906163551e-06,1.2634739932652582e-06,8.285221819945261e-08,1.2946549295859828e-06,4.021388885435878e-06,7.485716535557658e-08,0.00010292751652798983,5.980266510171237e-05,1.6473427197262564e-06,0.0002941478985627942,9.697031822515876e-05,8.747469348348226e-07,1.4533485179435043e-06,0.0009485133206637801,2.5263758713701795e-07,0.0005385460245355545,7.975775579030168e-06,0.00042852010300063173,6.590958381402652e-06,1.6029494787373005e-05,0.00023025486133899402,1.005823650354703e-08,5.896288814261007e-05,3.099222418986126e-06,8.783824995924998e-05,3.4856353458079336e-10,0.0001869740924523403,0.000118420327819333,0.00021885775720563617,6.093542053709732e-14,2.2702953328015286e-10,4.2620840139293025e-10,4.4240631271591475e-07,3.995561729160015e-08,1.5617448528562035e-09,5.9828951975398654e-05,2.759110993313116e-06,0.00011501865072245846,5.8295835161956875e-06,9.632575051468582e-05,3.9158774800908873e-07,4.02967666481329e-06
IF,7.613055724699391e-06,0.0008473899325599931,4.423685336026712e-06,1.0209456436414208e-05,0.00042653809693262145,3.8416125255135344e-05,8.394528711200823e-08,1.922612200532649e-06,3.0142451856734795e-06,7.0671454214775334e-06,2.6793967794845897e-05,5.6329665184913663e-05,9.229069703441785e-07,4.9734420516296435e-06,2.26736269831432e-06,4.219124522731275e-05,3.897268184130958e-06,0.0002494989883655354,6.445722005973285e-06,7.531110711187235e-05,6.980129931759511e-07,2.1260218444107444e-05,0.00014901065882957546,8.508139280642807e-06,5.118597381617365e-05,1.2897739394232703e-06,2.5492170833908942e-05,6.087979034879355e-05,6.105279645605815e-06,6.881419767039089e-05,6.473228857859385e-06,6.100651345108177e-05,6.2829721936416224e-06,4.995993920655727e-05,0.00021605406243917823,2.0558364151584946e-05,6.903432454269488e-06,1.243880674497434e-05,2.9252360591903342e-05,3.0210355602692237e-06,5.741904389406634e-05,4.4535129763849297e-05,7.826188954587477e-06,4.7555616850038e-06,6.734737987511264e-07,7.701898351560227e-05,2.893254269453913e-05,2.6572339038524147e-08,4.322754926231054e-07,2.2656164211940193e-07,6.672047932049108e-06,1.778719352874503e-06,4.647718833288119e-08,3.57167515517992e-06,2.4237165535378206e-05,1.1534207320717758e-05,2.8139838513820172e-05,3.811120752778699e-06,0.00011053212564055535,8.794069285571547e-06
IGL,4.551428556261063e-07,2.8266635308299825e-07,1.6218913026641623e-05,1.4764168189533804e-05,5.125993804779395e-06,8.305886366905363e-25,0.0010260228391944328,3.9269799326218337e-07,4.661688586815995e-07,6.983678293185373e-17,8.04449749923197e-09,2.0956637983724515e-07,0.001227470644134819,5.227745043236709e-05,4.3233106338133536e-08,7.240935655622303e-06,2.695910729947627e-09,6.854116003923448e-07,0.0003513829208023393,8.145346297846298e-10,1.2337332310753399e-05,7.190589888406278e-07,1.1453496148720704e-06,3.9976145482311195e-07,1.6938113472506552e-08,0.00013497479989103137,1.2882302378589097e-06,0.00019663001259810384,2.4900660460758694e-07,4.1359038267042186e-07,2.9587170228190714e-06,9.256581938365226e-08,4.946667015264293e-07,1.8272908927047805e-11,1.2803330674599194e-05,5.418606936036812e-09,2.4118211897877132e-05,3.2839648839743307e-07,1.7677892419493753e-09,5.1056804865590806e-08,6.024402579066743e-07,6.3258234487662616e-06,0.00020120339040599245,9.551538251464554e-09,0.00013242479658099728,7.863460997582429e-05,6.11457672176208e-08,0.00014686362359471393,4.896201863971086e-05,0.00076325672753565,2.769698750765904e-06,1.0518301584011827e-06,0.0009660383639920376,1.4066196267667048e-05,0.00011428443482521561,4.690148666356841e-05,1.5175264390551298e-05,0.0008904269212632562,4.160045297448656e-09,8.608053492598778e-06
LT,3.3480223839992346e-06,2.7945438657025072e-05,3.464130756202717e-06,0.00019355845632885896,0.00012556679275072343,2.5186203069612804e-05,2.997108129259686e-06,1.1016793193303342e-06,7.160404705487631e-07,1.780945047745182e-05,1.741613792149236e-05,2.6804465032273373e-05,3.299406476577009e-06,7.447798703961044e-06,3.3214788838341823e-07,0.00013477193372250337,5.564835110406183e-07,6.669312993874717e-05,8.898135859852575e-05,3.314381543196003e-05,2.281566834076618e-07,2.5462458577098317e-05,1.5090948387205431e-05,2.190358911397853e-05,2.7539679457102603e-06,0.0003474820457280007,0.0001057965459913941,0.0008826215717502177,7.766252471097044e-07,9.856405388025474e-05,1.9437358946904035e-06,8.253060402146603e-05,4.811883918284676e-07,1.77922345444312e-05,2.7397919102376094e-05,2.3601682421727034e-05,1.8619831005542593e-05,0.00011256967679173752,3.7849553008436056e-07,1.0974183887052025e-08,0.00023228875939105311,3.3760122807515204e-05,9.445728621643183e-05,6.445090433209958e-08,5.326191341260914e-05,0.00031034676327292433,3.4914831822918425e-05,2.1771401755685703e-09,2.2872666315745745e-07,2.0304881953189104e-07,6.719718535661607e-07,3.790113753530914e-07,4.3943947578914415e-08,6.326305103410406e-05,0.00014335382046543738,0.0006720378770007845,0.00021073605588972898,0.00047868732395328373,3.334153426450742e-05,1.607346239512722e-05
INC,1.3970452538804393e-05,0.0003206848399943782,1.8665513514903843e-05,1.9231654896265147e-05,0.0006547677661941017,8.865155892301742e-06,1.4329739674510068e-08,1.7850258678357585e-06,1.7999453841749907e-06,6.635913844504469e-06,3.894238957242184e-05,9.626516427579105e-05,3.6818326805093967e-06,1.3356866724557036e-05,3.6163928548362747e-06,0.00018511125692778404,4.478979479915647e-06,0.00011184765816212849,8.601752379958833e-06,2.6475741959283573e-05,5.480979887876528e-07,5.980156473918039e-06,5.249469974293483e-05,9.990644244564203e-06,5.569111391845921e-05,5.805244359655352e-06,1.770589203877901e-05,0.00012830782476935365,9.567638278417052e-06,2.3775594249040656e-05,2.1128168674393795e-06,9.722515061487426e-05,1.3326991794405385e-06,0.00012396195049097744,0.00012266357782528926,2.3870576869106283e-05,2.6659391654034935e-05,2.749323444307704e-05,0.00012884019856503607,4.711404444281756e-07,8.957204233646679e-05,1.8759556255762143e-05,2.0096518907993304e-05,6.966470737266538e-07,3.932796367555095e-06,0.00013805396416238815,5.466395359035342e-05,8.08681810600934e-09,6.215135630730839e-08,3.70317360344385e-08,9.35467480004817e-07,3.1514800001130303e-06,8.54447550511583e-09,1.7441494346393466e-05,1.5227292403292133e-05,4.903267516300343e-05,1.92016106056207e-05,1.591283551770163e-05,3.925132343919402e-05,4.095635424406745e-06
ADP,2.604619374159024e-08,0.0001904024660063635,1.0610124357090909e-06,1.618287997168731e-05,2.8576274300227557e-06,0.0010320476882674445,4.19782187985999e-07,6.009376874434092e-07,4.0026915117670443e-07,1.9502469298800615e-08,3.0396155601715624e-07,5.356281096790257e-05,4.4175329501669866e-07,1.5779810093128122e-06,2.5011382532969895e-09,1.2739382602377607e-06,3.806317986359839e-09,0.0003146377116086895,1.0700684567284313e-05,0.0009142897263738776,1.9620366825862416e-07,0.0008231422284147592,1.0310678419394843e-05,2.5359594985665594e-06,6.400583171643438e-07,9.476556512738371e-07,0.00031725878903883086,1.1787805262066256e-05,1.3459784133180517e-08,0.000988029343910581,3.9426006597535866e-07,4.696771814307864e-06,3.8086739988767055e-07,5.032142474410124e-06,0.00014619412309765294,7.117565834516808e-07,2.8517536792440125e-07,9.399229641211159e-07,1.1677109485960041e-08,4.5885578987504194e-07,7.917999569892756e-06,0.0005376771086880609,1.3916078775884065e-06,1.1363717118610115e-06,1.111089772333787e-07,3.453143548294279e-05,1.1562323543164596e-06,5.698944734041149e-08,6.184596835953971e-07,2.5782729266469074e-10,7.305852634041058e-07,1.7638528835878464e-07,1.0361711334398777e-09,9.434521637125874e-08,9.11012492282694e-07,2.334442114728815e-06,4.746942958396152e-06,1.647150656083419e-06,0.0008409104595620563,2.1536210255992635e-06
VISl6a,3.069706458477272e-07,3.685827446090366e-07,0.0007922629049003205,0.0003059670589414812,2.387614477238903e-06,3.951608293800994e-09,0.002504311792832037,1.762269683303079e-06,1.9602040446823085e-06,2.1200329277095428e-14,1.2379724335562242e-06,2.1241084129550683e-06,0.0007391548990273173,0.0006705785448799635,9.75105483093299e-08,0.00020769289192243257,1.7611710349946133e-07,1.0985031665819648e-07,0.00015647911449178671,2.3342296009541224e-08,0.000974898028316492,1.128999066239862e-06,1.3093258279548005e-07,2.975912130381723e-06,3.079064012781226e-06,0.00024386044658294498,4.5364689572573513e-07,2.2805998344052965e-05,2.6727237623994053e-07,7.343220712816997e-08,1.7233204190313067e-05,3.189617667822328e-07,4.440758276890805e-05,6.448585247115372e-07,6.137860227554245e-06,5.502066034422909e-08,0.0006496649418472515,1.4467590568328075e-05,3.056099485217115e-07,2.1717240117312907e-05,4.473037176679818e-06,2.5482383650506028e-06,5.031481168998924e-05,3.652225113939394e-05,3.407771652243047e-05,3.799143386620953e-05,2.4923884618901246e-07,0.0017764391194250047,0.0010521927618233722,0.0010322196295451593,6.703327395980826e-05,0.0003158861880689919,0.0019465109796174091,2.3802800309226337e-05,1.029206610126071e-05,0.0001996521846702657,1.3009609451071732e-06,0.0001216653229693087,1.0130414807815854e-15,2.5367720283371544e-05
DCO,0.00011730853583784275,5.460203301359255e-07,7.713189949940537e-07,2.5291724989909084e-07,0.00016482739830258662,1.0431823311833484e-09,8.62742427457359e-12,0.0004942565922210426,0.0008900159789576554,0.0002259706067819112,0.000200830839768114,7.928988661931522e-05,3.721253214545504e-07,2.6025256572994007e-07,0.0019025626414614664,2.8068245645410334e-05,0.0002946075834431457,2.884155019809754e-08,2.5502798247539123e-06,3.984786544539137e-08,3.61844551214079e-07,1.7635167246138234e-06,7.513737661137523e-08,6.3051861305016744e-09,1.3555489461808513e-05,3.340308325648782e-06,6.848480747739562e-09,7.078705513437136e-05,0.0002022131350859338,6.715327988245125e-09,9.618445345171017e-06,6.075965973605489e-05,1.9849562509358528e-06,0.0001277252453942109,3.134620167774408e-05,6.011562661464012e-05,6.685484398739614e-07,1.542975678061665e-05,0.001444715272585424,1.5490643972866046e-08,2.551259641036217e-05,3.718114074325043e-06,5.406871432193881e-05,2.4037949178297916e-09,2.442467384440475e-05,2.8028800912533804e-05,0.00019530038611184855,3.944664556156602e-13,1.3907079252438743e-11,6.542433323900266e-13,8.037249603816596e-07,2.455967048866042e-07,7.098584375682492e-11,2.5426284787154217e-05,6.187273913067848e-08,2.243715828902215e-05,4.18419974859339e-07,2.2031562114774015e-05,3.3828487195356074e-09,2.0503848154083245e-05
VCO,7.147572857609762e-05,3.5832862450532704e-07,4.1735126773553663e-07,4.855812086925215e-08,5.28526552965735e-06,5.809738328956699e-11,4.0568957586828253e-13,0.0008901638723826433,0.0016782695639836079,3.986918027935891e-05,0.0001170118487128207,3.4516442123599327e-06,4.901396766366356e-07,2.1299060286921506e-08,0.00016200606121245123,2.2474580852118234e-06,0.00011626315400658424,5.705305229821324e-09,9.502212247284464e-08,1.5660554887578506e-09,1.1735196512846898e-07,3.072700130218173e-06,1.1151171663006385e-08,1.1701946960737579e-08,2.1380879484191314e-07,6.543795775418426e-07,1.4419583784240128e-09,3.534997805469974e-05,1.7509378269965997e-05,7.998828244189785e-10,1.1365080360369257e-05,2.0590286305962327e-05,1.455525219755649e-06,1.310744694110874e-05,4.172968385648764e-05,2.653222766392178e-05,7.433869657300757e-07,8.42683188174257e-07,7.918730726944319e-05,1.3968708056415024e-08,8.633398752804057e-07,4.087496727421743e-06,1.4902671188673557e-06,1.0280922607912547e-10,1.6115985616833423e-06,1.457764459941623e-06,3.9030837094421805e-05,1.6476670251980212e-14,5.401324750619173e-13,4.735138101421743e-13,6.599244199738907e-07,1.1788302180762002e-07,3.09272051117496e-12,1.810106951750724e-06,9.829022851306793e-09,2.8414507596624514e-06,5.123913971551613e-07,1.8261857343982284e-06,1.771711128340891e-10,2.7161506599654316e-05
ISN,0.00027372618259732454,7.499249217007246e-06,1.1969266723706292e-07,2.0420273254358938e-06,0.00019315728250775765,1.2608627990158474e-08,4.9428103962469266e-11,1.1161449018642665e-05,1.3919623191045877e-05,0.0013843910676203967,0.0005545282270850167,0.00012843777507730924,9.10905136854849e-08,2.865375624762303e-07,0.0007910055303376657,4.961951118912483e-05,0.0001924335342484822,2.1224868576573108e-07,1.687167212651661e-06,1.6628156740100598e-08,4.921739787495097e-08,6.125533137244133e-07,4.3769546181677e-07,5.25561570040044e-10,1.244651844753427e-05,4.4704903185513935e-06,7.383829169638695e-08,0.00010931716066400189,0.00023279818937653156,3.4392156299762424e-08,1.4619057497909322e-06,0.0005001391355542304,5.293038240682243e-07,0.00033618083625588897,1.3028397219414765e-05,0.000614721642738345,4.827231376672769e-07,2.766302067017047e-05,0.0006627347947927075,2.5990348045984484e-08,2.737070334830519e-05,1.355806625134273e-06,2.925839473414015e-05,6.137909355389527e-09,2.2542516925162626e-05,2.9965756496623054e-05,0.0007426641425949934,1.0103954360261448e-11,9.300756800059206e-11,5.3525533514222884e-11,5.167506471512964e-07,3.963067611896764e-08,3.2403305143554954e-11,3.896718432415813e-05,3.392139232184365e-07,2.290318486907926e-05,7.59579989487207e-07,2.1738499176673366e-05,2.786483092743412e-08,6.6853345658358505e-06
