,PSV,IF,IGL,LT,INC,ADP,VISl6a,DCO,VCO,ISN,KF,LC,LGd,LGv,LAV,APN,SUV,LPO,RT,AVP,VISpl2/3,AVPV,MA,BLAp,SG,SGN,BST,SPFp,SPVI,MPO,ENTm1,SUT,ENTm2,ACVII,NDB,V,NOT,VAL,VI,ENTm3,VM,VLPO,VPL,ENTm5,VPM,ZI,PARN,VISpl4,VISpl5,VISal2/3,ENTl,RSPagl2/3,VISl2/3,PO,GPe,POL,GPi,MGm,PS,DG-mo
PSV,0.7475577084404823,0.0004455387917894777,0.0001022966687768365,0.0002892753953501817,0.023468609305652557,4.931148064678265e-06,6.85511344497997e-11,0.5686045525725697,0.520486585836365,0.001092582338262697,0.2913367025459116,0.006902171007753018,0.000669490709433302,0.0009700098635573545,0.14054714216676464,0.08320852505325858,0.11614771614694006,0.00244498995642811,0.008431373857626205,0.00011244918540060797,1.7564670258283953e-05,0.00023821650704382083,0.001475849720954967,5.314858740245937e-05,0.0016468402644478372,0.011003690378715075,0.00220908658715291,0.04235729739304236,0.17532233535108704,0.0004951067651165096,0.001803605510767889,0.25040751665523797,0.0003218602860125609,0.002154184098142218,0.005766485743638811,0.1499820360502211,0.0014104650936201675,0.012839625324685777,0.007598410424186803,9.897304719490279e-06,0.05577889218290912,0.00019525101239612595,0.07826388071369172,3.2416408716013784e-07,0.3057026411595764,0.21493289499208937,0.5101574320463379,2.1936751393355037e-12,5.6530353786758064e-08,8.566788867997898e-08,0.002827418744567411,2.5611550683915693e-05,4.778939249739983e-07,0.0758631111048055,0.004304213149568461,0.023463804747381526,0.0024892321614155585,0.024563066381244884,3.994195029692705e-05,0.01737999545533972
IF,0.008435265742966925,0.07118075433503943,0.00029638691751378965,0.00017356075941904155,0.03412304775460972,0.0034958673982173165,1.720878385796169e-05,0.001172793442324916,0.003107686786429357,7.067145421477534e-05,0.004796120235277416,0.0007322856474038776,0.0006580326698553992,0.0020291643570648945,0.0006416636436229526,0.053878220155278385,0.0013640438644458353,0.12749398305478862,0.009230273912553743,0.006702688532956639,0.00014797875455330165,0.0039118801937157695,0.05468691179045419,0.006040778889256393,0.0008189755810587783,0.00023731840485388174,0.03418500108827189,0.008766689810226271,0.011038345599255315,0.03894883588144124,0.008033277012603496,0.016105719551085588,0.008004506574699427,0.00019983975682622907,0.15620708714352585,0.007195427453054732,0.0014773345452136705,0.009963484202724446,0.0009653278995328103,0.0029726989913049164,0.05431841552378676,0.0028057131751225055,0.006973134358537442,0.004422672367053534,0.0011011296609580916,0.1397894550808181,0.0674417570209707,9.566042053868692e-07,0.00010763659766315323,4.553889006599979e-05,0.04264105833372585,0.0011401591051925565,1.4222019629861644e-05,0.004528884096768139,0.03780997823519,0.0023529782934264224,0.012015711045401214,0.0009718357919585683,0.011274276815336645,0.03792882082867008
IGL,0.0005042982840337257,2.3743973658971854e-05,0.0010866671727849887,0.00025099085922207465,0.00041007950438235163,7.558356593883881e-23,0.21033468203485875,0.00023954577588993184,0.0004806200933007291,6.983678293185373e-16,1.4399650523625225e-06,2.724362937884187e-06,0.875186569268126,0.021329199776405773,1.2234969093691789e-05,0.009246674832229681,9.435687554816693e-07,0.00035024532780048815,0.5031803425889498,7.249358205083205e-08,0.0026155144498797205,0.00013230685394667553,0.0004203433086580498,0.0002838306329244095,2.7100981556010483e-07,0.024835363179949773,0.001727516748968798,0.028314721814126954,0.0004502039411305172,0.00023409215659145877,0.0036717678253184675,2.44373763172842e-05,0.0006302053777446709,7.309163570819122e-11,0.009256808077735218,1.896512427612884e-06,0.005161297346145706,0.0002630455872063439,5.833704498432938e-08,5.0239895987741355e-05,0.0005699084839797139,0.00039852687727227453,0.17927222085173927,8.882930573862035e-06,0.21651454240993057,0.14272181710612108,0.0001425307833842741,0.005287090449409702,0.012191542641288003,0.15341460223466566,0.017701144716144892,0.0006742231315351581,0.2956077393815635,0.017835936867401817,0.17828371832733633,0.009567903279367955,0.006479837894765404,0.22705886492213034,4.243246203397629e-07,0.03712653471357853
LT,0.0037096088014711517,0.002347416847190106,0.00023209676066558206,0.0032904937575906025,0.010045343420057876,0.002291944479334765,0.0006144071664982356,0.0006720243847915039,0.0007382377251357748,0.0001780945047745182,0.0031174886879471323,0.00034845804541955386,0.0023524768177994072,0.0030387018712161058,9.399785241250736e-05,0.1721037593636368,0.0001947692288642164,0.034080189398699806,0.12742130551308886,0.002949799573444443,4.83692168824243e-05,0.00468509237818609,0.005538378058104393,0.015551548270924757,4.4063487131364165e-05,0.06393669641395212,0.1418731681744595,0.12709750633203135,0.0014041384467743457,0.05578725449622418,0.002412176245310791,0.021788079461667033,0.0006130340111894678,7.11689381777248e-05,0.019808695511017917,0.008260588847604462,0.003984643835186115,0.09016831111018175,1.2490352492783898e-05,1.0798596944859192e-05,0.21974516638393624,0.0021268877368734577,0.08416144201884077,5.99393410288526e-05,0.08708322842961594,0.5632793753403577,0.08138647297922284,7.837704632046853e-08,5.69529391262069e-05,4.08128127259101e-05,0.004294572116141333,0.0002429462916013316,1.344684795914781e-05,0.08021754871124395,0.2236319599260823,0.13709572690816005,0.08998429586491427,0.12206526760808735,0.0034008364949797572,0.0693248433101837
INC,0.015479261412995268,0.026937526559527768,0.0012505894054985576,0.0003269381332365075,0.05238142129552813,0.0008067291861994586,2.937596633274564e-06,0.0010888657793798127,0.0018557436910844154,6.635913844504469e-05,0.00697068773346351,0.0012514471355852836,0.0026251467012031997,0.005449601623619271,0.0010234391779186656,0.2363870750967802,0.0015676428179704765,0.05715415332084765,0.012317709408101049,0.002356341034376238,0.00011619677362298239,0.0011003487912009191,0.01926555480565708,0.007093357413640584,0.0008910578226953474,0.0010681649621765849,0.023743601224002653,0.018476326766786923,0.01729829000737803,0.013456986344957012,0.00262200573249227,0.025667439762326806,0.001697858754607246,0.0004958478019639098,0.08868576676768412,0.0083547019041872,0.0057051098139634755,0.02202208078890471,0.004251726552646191,0.00046360219731732483,0.08473515205029758,0.0011818520441130148,0.017905998347022035,0.000647881778565788,0.0064301220609525814,0.2505679449547345,0.12742167581911382,2.9112545181633626e-07,1.547568772051979e-05,7.443378942922138e-06,0.005978572664710786,0.0020200986800724525,2.614609504565444e-06,0.02211581483122691,0.023754576149135728,0.010002665733252699,0.008199087728600039,0.004057773057013916,0.00400363499079779,0.017664475585466292
ADP,2.8859182665681984e-05,0.015993807144534536,7.108783319250909e-05,0.00027510895951868427,0.00022861019440182046,0.09391633963233746,8.60553485371298e-05,0.00036657198934047965,0.00041267749486318224,1.9502469298800613e-07,5.4409118527070964e-05,0.0006963165425827334,0.00031497009934690616,0.0006438162517996273,7.07822125683048e-07,0.0016268191583236205,1.3322112952259436e-06,0.16077987063204033,0.015323380300351137,0.08137178564727511,4.159517767082832e-05,0.15145817002831571,0.0037840189799179073,0.001800531243982257,1.02409330746295e-05,0.00017436863983438602,0.4254440361010722,0.0016974439577375408,2.4335289712790375e-05,0.5592246086533889,0.0004892767418754201,0.0012399477589772764,0.00048522506745689233,2.0128569897640497e-05,0.10569835099960306,0.0002491148042080883,6.1027528735821866e-05,0.0007528782942610139,3.853446130366814e-07,0.00045151409723704125,0.0074904275931185465,0.03387365784734784,0.0012399226189312702,0.0010568256920307406,0.00018166317777657418,0.06267455540154115,0.002695177617911667,2.051620104254814e-06,0.0001539964612152539,5.182328582560284e-08,0.00466917041841564,0.00011306296983798096,3.170683668326026e-07,0.00011962973435875609,0.0014211794879610026,0.0004762261914046782,0.0020269446432351567,0.0004200234173012719,0.08577286687532974,0.009288567483409622
VISl6a,0.00034012347559928176,3.096095054715907e-05,0.05308161462832148,0.00520144000200518,0.0001910091581791122,3.5959635473589045e-07,0.5133839175305676,0.0010749845068148782,0.00202097037006746,2.1200329277095426e-13,0.00022159706560656415,2.7613409368415886e-05,0.5270174430064772,0.27359604631102513,2.7595485171540363e-05,0.2652238229849464,6.164098622481147e-05,5.613351181233841e-05,0.22407809195223857,2.077464344849169e-06,0.20667838200309632,0.0002077358281881346,4.805225788594118e-05,0.0021128976125710233,4.9265024204499614e-05,0.04487032217126188,0.0006083404871682108,0.003284063761543627,0.0004832284562418125,4.15626292345442e-05,0.021386406400178515,8.420590643050945e-05,0.05657526044758885,2.5794340988461487e-06,0.00443767294452172,1.925723112048018e-05,0.13902829755531182,0.01158854004523079,1.0085128301216479e-05,0.0213697642754359,0.0042314931691391075,0.00016053901699818798,0.04483049721578042,0.03396569355963636,0.05571706651417382,0.0689544524671703,0.0005809757504665881,0.06395180829930017,0.26199599769401966,0.20747614553857702,0.42840965387713453,0.20248304655222382,0.5956323597629272,0.030181950792098997,0.016055623117966707,0.04072904567273421,0.000555510323560763,0.031024657357173715,1.0333023103972171e-13,0.10941097758218148
DCO,0.12997785770832976,4.586570773141774e-05,5.16783726646016e-05,4.299593248284544e-06,0.01318619186420693,9.49295921376847e-08,1.768621976287586e-09,0.30149652125483595,0.9176064743053426,0.002259706067819112,0.0359487203184924,0.0010307685260510977,0.0002653253541970944,0.00010618304681781554,0.538425227533595,0.035843149689188995,0.10311265420510099,1.4738032151227844e-05,0.003652000709047602,3.546460024639832e-06,7.671104485738474e-05,0.0003244870773289435,2.7575417216374712e-05,4.476682152656189e-06,0.0002168878313889362,0.0006146167319193758,9.183812682718752e-06,0.010193335939349478,0.36560134823536833,3.800875641346741e-06,0.011936490673357232,0.016040550170318493,0.0025288342636922766,0.0005109009815768436,0.022663303813008972,0.021040469315124044,0.00014306936613302774,0.012359235181273935,0.04767560399531899,1.5242793669300188e-05,0.024134916204202612,0.0002342411866824777,0.048175224460847474,2.235529273581706e-06,0.039934341735601765,0.05087227365624885,0.455245200026719,1.4200792402163769e-11,3.462862733857247e-09,1.3150290981039534e-10,0.005136606221799187,0.00015742748783231328,2.1721668189588428e-08,0.03224052911011155,9.652147304385843e-05,0.004577180290960519,0.00017866532926493777,0.005618048339267373,3.4505056939263194e-07,0.08843309708856104
VCO,0.07919510726231616,3.009960445844747e-05,2.7962534938280956e-05,8.254880547772865e-07,0.00042282124237258797,5.286861879350596e-09,8.316636305299792e-11,0.5429999621534124,1.7302959204670998,0.00039869180279358915,0.020945120919594905,4.4871374760679125e-05,0.0003494695894419212,8.690016597063975e-06,0.0458477153231237,0.0028700039748154986,0.04069210390230448,2.9154109724386962e-06,0.00013607167938111352,1.393789384994487e-07,2.4878616607235423e-05,0.0005653768239601439,4.0924800003233435e-06,8.30838234212368e-06,3.42094071747061e-06,0.00012040584226769905,1.933666185466601e-06,0.005090396839876762,0.03165695591209852,4.527336786211418e-07,0.014104064727218247,0.005435835584774055,0.0018543391299686968,5.242978776443496e-05,0.030170561428240563,0.009286279682372623,0.00015908481066623622,0.0006749892337275798,0.002613181139891625,1.3745208727512382e-05,0.0008167195220152637,0.00025751229382756975,0.0013278280029108138,9.561258025358669e-08,0.002634963648352265,0.002645842494794046,0.09098088126709722,5.931601290712876e-13,1.3449298629041742e-10,9.517627583857704e-11,0.004217576968053136,7.556301697868443e-05,9.463724764195378e-10,0.002295215614819918,1.53332756480386e-05,0.0005796559549711401,0.00021879112658525386,0.0004656773622715482,1.8071453509077087e-08,0.11714757796430907
ISN,0.30328861031783555,0.0006299369342286086,8.019408704883216e-06,3.471446453241019e-05,0.015452582600620612,1.1473851471044212e-06,1.01327613123062e-08,0.006808483901372025,0.014351131509968298,0.013843910676203965,0.09926055264821798,0.0016696910760050203,6.494753625775073e-05,0.00011690732549030197,0.2238545650855594,0.0633641157885124,0.06735173698696877,0.00010845907842628859,0.0024160234485171785,1.4799059498689532e-06,1.0434088349489605e-05,0.00011270980972529206,0.0001606342344867546,3.7314871472843126e-07,0.00019914429516054832,0.0008225702186134564,9.901714916485488e-05,0.015741671135616274,0.42089912639276905,1.946596046566553e-05,0.0018142250354905467,0.13203673178631684,0.0006743330718629178,0.0013447233450235559,0.009419531189636874,0.21515257495842074,0.00010330275146079726,0.022158079556806546,0.021870248228159347,2.5574502477248733e-05,0.02589268536749671,8.54158173834592e-05,0.026069229708118875,5.70825570051226e-06,0.036857015172640895,0.05438784804137085,1.7311501163889296,3.637423569694121e-10,2.315888443214742e-08,1.07586322363588e-08,0.003302553385943935,2.5403263392258258e-05,9.915411373927815e-09,0.04941038972303251,0.0005291737202207608,0.004672249713292169,0.00032434065551103743,0.005543317290051708,2.84221275459828e-06,0.028833847982450023
