,PSV,IF,IGL,LT,INC,ADP,VISl6a,DCO,VCO,ISN,KF,LC,LGd,LGv,LAV,APN,SUV,LPO,RT,AVP,VISpl2/3,AVPV,MA,BLAp,SG,SGN,SPFp,SPVI,MPO,ENTm1,SUT,ENTm2,ACVII,NDB,V,NOT,VAL,VI,ENTm3,VM,VLPO,VPL,ENTm5,VPM,ZI,PARN,VISpl4,VISpl5,VISal2/3,ENTl,RSPagl2/3,VISl2/3,PO,GPe,POL,GPi,MGm,PS,DG-mo
KF,0.06111519743059116,0.00046265726999119764,0.00013384858331686036,0.0013003933406182477,0.03811518569288731,0.00017455067419047516,4.060688665503483e-28,0.15413042462421286,0.08518996031262827,0.016969969571434963,0.23124489202005036,0.05144368018913051,2.201777613965304e-05,0.0001846058779873646,0.07723395497351987,0.005313722344450888,0.050237292658474986,0.0005754661712067588,0.00035449095427476495,0.00041135567117957396,1.2053258905346765e-05,0.0006603685874876342,0.00022867837648834165,1.575621126746805e-05,0.008555974486471588,0.0012817769437400211,0.027221036085065795,0.009585604748662302,0.00028038503234620354,0.00020266772750882536,0.09846686118095364,3.811820560728567e-05,0.028524121398635024,0.0007137732158759478,0.045834376010653606,0.00025477290575338604,0.0020123323750388888,0.020237976973618392,1.7362411829482175e-06,0.005860434503462597,0.0005095368261884599,0.005092258887092335,1.4509678562499144e-09,0.01712617394048527,0.00824869565139538,0.02044286042181622,0.0,1.3366119125178838e-09,6.649175537001165e-08,4.8281831750270486e-05,6.2546182953662894e-06,1.1622224054352086e-08,0.006131842454402758,0.0003720286903462108,0.0031222754698529013,0.0006705612462608755,0.0034127174854594656,0.0005340565512882812,0.000377609632748269
LC,3.1667952717144034e-05,0.0007317183703581485,1.3045635145048748e-05,7.341798485566476e-05,0.00040943022559597074,0.0008243414540323214,5.662244699880524e-07,5.963234680728373e-06,7.86700644124606e-06,0.0007213379088372156,0.00025950252627868366,0.012583051195712756,4.177538002985086e-06,1.4144523339699075e-05,5.006274207497722e-07,5.073393485673014e-05,2.448710690414358e-05,0.0009818620925618631,0.00010823976743763833,0.0003306114853875631,8.821574421356402e-07,0.00047837473467649704,0.00010288749785149302,1.8586032297184012e-05,0.0007613651311995982,4.4202257334858895e-05,0.0004958919023765153,2.5390082628519926e-06,0.0003795806826256509,5.662719320327466e-05,0.000795051732418748,1.4060060476478108e-05,0.0007030266514697075,0.0009103236033946773,0.0016195546461991398,2.5424940348401887e-05,2.0362691946386676e-05,2.980670966821427e-05,1.0931268946948784e-06,0.00024813792941974917,0.0004593359065811892,1.2167717282234123e-05,3.571141495953687e-07,6.665460109171582e-06,0.00036785811821941547,0.00043303972328760475,3.5719963748035787e-09,1.4368284661969132e-07,4.160706700662182e-08,5.073232841192416e-05,2.131509623900002e-06,5.131243670133957e-08,3.500487814315996e-05,5.434803183213335e-05,0.00010201398040490715,0.00012879718979682677,4.4914209681988105e-05,0.002770059068994609,6.322844654872483e-05
LGd,5.4893717706365234e-06,1.58197123333372e-05,0.00811206514919673,0.0015539065181832967,0.0002264768754375783,2.0912407603176755e-34,0.5625866197968061,8.243734468753525e-05,6.725150241232672e-05,1.0023634380946415e-26,8.126962268493135e-07,7.463217682973458e-06,0.6729174291185193,0.02868688528632708,1.6722387968537001e-06,0.002897179057184924,2.0964406865874938e-07,2.6451943992351686e-05,0.14386263947659414,9.778381147907268e-07,0.00703896040705189,3.702676416428307e-05,3.923615408792568e-05,0.00028078872249674816,2.0329328322715364e-05,0.07406141810527485,0.007391122210625187,3.2020452362749018e-06,1.3718233849548995e-05,0.00018392382000192013,2.978852358155423e-06,7.117443867233974e-05,1.0297243562524898e-08,0.000755982094688418,1.9357528675964749e-07,0.013355337226113708,0.00013588722111782444,2.091315429666585e-06,1.4464945279500787e-05,6.083335866811695e-05,0.00022445488910161513,0.011002246257001894,0.0004385438856860649,0.01619008780856162,0.003605151302588031,5.858719846582539e-07,0.08138011417088792,0.02741238396749564,0.4196419765902078,0.0005531434682132082,0.0009473355165903699,0.5308725043030244,0.0059454827454730975,0.0075489893467055105,0.017586432529869887,0.0005871860029948003,0.04241966606157844,1.3271071929637155e-07,0.0017560817606594504
LGv,0.0003263207457968839,7.781104707573216e-05,0.0016984505154808117,0.0036920696224095662,0.0014008247298229386,0.0,0.08868012353200576,0.0002552828167868164,0.00034325558740787114,4.1997280331418283e-20,5.71653042315548e-06,0.00015023000179243903,0.10658904963776938,0.0045436387201734235,1.34369429460718e-05,0.001058458626685929,1.8648219708852314e-06,0.00018811743058344766,0.0625872090565579,1.181564859536479e-09,0.0012425658782758437,0.000201630756231993,0.00031497661064433817,1.496922441204228e-05,2.4558029818061717e-08,0.012063584026954783,0.05398706861968589,0.00018299062312802117,0.00011404299354503276,0.0010907202039194084,6.758068171398816e-05,0.00019484425961133534,1.9995804599549475e-12,0.003783070662345051,3.8840679100887916e-06,0.0020816688668893763,7.215289798513106e-05,2.5064720887092975e-09,1.5519743881519447e-05,0.00015559143904667427,0.0018053843033095033,0.0742355474176808,9.562826443836618e-05,0.07168010984609971,0.0213342410535146,4.480229149959179e-05,0.012743753281314524,0.00443153084248287,0.06538401713066988,0.0006460307495601972,0.00013662620737752432,0.08283802064917815,0.0035427691304076698,0.03181255806575292,0.007237436029546408,0.004222991488391673,0.24088635303639075,1.124668548194522e-06,0.0023165620597312754
LAV,0.009092846998709362,0.000617102816129751,5.685867528668911e-05,0.0003577457391511466,0.045631811177960245,0.00010038576466420775,5.166024649015862e-07,0.007300938411299496,0.00544187262075103,0.05701234787900824,0.03258421107258111,0.030299198136522862,3.074216888766084e-05,7.752278451725551e-05,0.4367619262573785,0.0038005243259990646,0.06458538215480704,0.0002478408490330289,0.0006872692079825589,9.864751166073079e-05,5.7455735360070645e-05,0.0001990432546501422,0.00012481370804101477,2.127914039925729e-06,0.00775868684696169,0.0005778768649829048,0.00919652291173751,0.020603902024081175,9.681718623278282e-05,0.0008233732834697088,0.014034627938658485,0.00027265429825761023,0.027923008522000768,0.0037894259466762312,0.016955224823263643,0.00010459231888911985,0.00451768197556065,0.3428596589610072,7.642056332638513e-06,0.007227554844716097,0.0005624088992419312,0.010546391867868567,2.901342352456774e-06,0.000758092681704561,0.004332056497407392,0.04678797338860197,6.996342602790923e-08,4.509493615747878e-07,1.3030862219119261e-08,0.00015464995235362392,3.6865034748793314e-05,4.6920030193352815e-09,0.0032097895594285766,3.8682782822245496e-05,0.0011374760766962144,0.00016232202127757512,0.0011832013005810271,0.0002387003302741785,0.0020701025414912376
APN,0.0035237724700041607,0.00880449566503165,0.04630354882102524,0.03216544178159657,0.1341424599878004,0.0033988309159357763,0.0001390121007285367,0.0014484627022466148,0.0011954813396373137,0.005273021424737059,0.012816377238259164,0.025097156056976325,0.014723341585313278,0.06063860503630554,0.0006333380405855886,0.43308257402822553,0.0007293374384776185,0.010887980466375213,0.010914857110988498,0.009816493057519061,0.00017397581904815136,0.0026703449856948507,0.0027378503478129057,0.0013493033612049941,0.009855225179843797,0.03662634083380327,0.2977712279562312,0.0016522591334072136,0.010303157603658316,0.0014150203879380674,0.03416407760522893,0.00030589166105594124,0.03019624102636079,0.011123501416241587,0.006146615013864177,0.0954194296076341,0.030363273778795868,0.006666900229518153,4.201746311902778e-06,0.05128788955828801,0.006067813066085171,0.06084658868538906,5.326321514483937e-06,0.034216149569231594,0.21332768974332803,0.015243058122096503,5.780208779955e-06,5.938244712758822e-05,4.802183933899961e-05,0.00019526586901980297,0.0011666720586246601,1.7844307414139023e-05,0.12349790870922628,0.0070541577417944775,0.12315874545595776,0.009739659623329094,0.07980970091833094,0.004728885577315813,0.005520195303010852
SUV,0.0061464301775389345,0.0011967082279667111,0.0002593768319086066,0.000978702401719167,0.06259536642305584,0.0005116818632388249,2.738382934977815e-06,0.008934276249179354,0.004335848593351426,0.03649585006538662,0.037397716574888995,0.06474097735644749,5.225063723602929e-05,0.00022966244874840928,0.5327688571602158,0.0033295115385632897,0.09295890070061154,0.0012776992871973024,0.0009823692051960256,0.000499465462523943,8.234868724039912e-05,0.0004689763157354223,0.00043166649022672655,1.0228667475012964e-05,0.015279113539732398,0.0010058029536782294,0.008359163066311228,0.024704569241152108,0.000492942548366783,0.0010142404244863625,0.01021678089600576,0.00033507406509259016,0.03545577163113874,0.003916720588424444,0.00839482933008159,0.0001558087842959387,0.004550786445327484,0.41122381251047857,7.331853753371143e-06,0.008768822331292938,0.0010761255228022124,0.012419665435110437,5.019530469289325e-06,0.0005513878601343411,0.005778874746564127,0.03941868718187354,3.4592136863149446e-07,2.2160391745227668e-06,6.442871460793607e-08,0.00014124349600055008,5.313384534430468e-05,2.024418510356726e-08,0.002829627826948622,0.00011293560977291328,0.0016152970681237281,0.0005903349896766714,0.0014848354540969977,0.0012455944871506135,0.0018646115432972427
LPO,1.1663121255253688e-05,0.059284213314904056,0.0008327346210045449,0.005645990209421765,0.0018418492045130565,0.12788555460626935,0.00034903321330446166,0.00016596382107891472,0.0001068675723837725,2.4170783678345146e-05,0.00015186364685037195,0.0158511155621511,0.00040144781574644314,0.000940694898822005,3.828191195159639e-06,0.001208272345187443,5.795659236485349e-06,0.1396909726573569,0.007357706085941084,0.2434914307602284,0.0002626216477651466,0.14216975349651556,0.009815375118417107,0.0015026275617495298,0.0008056657396226467,0.0010806857712724216,0.005091074625575348,9.623753566552235e-06,0.23753222711412827,0.00014271861576114825,0.002303717370042071,0.0002201985439946156,0.0027304193929677182,0.07457874929536436,0.0003717759484649231,0.00016441770245330032,0.0017395919842942277,1.1499177433271473e-05,0.0001862992703205113,0.005246630043047247,0.18987398321727356,0.0011460936950604985,0.0005665978945794136,0.00048407394882861486,0.014421068401398304,0.0005699112899867121,7.295117285492503e-05,0.0009481761065734236,5.061642273618296e-07,0.0004444580427394543,0.00012931885444726916,1.5700503242422313e-06,0.0010970622104703746,0.0008047482952915367,0.002115562611627169,0.003469880070099911,0.001563207461075234,0.1527681752139848,0.0009892432762985308
RT,0.001119753953793275,0.00047654855574285086,0.003687641790219406,0.0024882587989556045,0.0006248281983804338,0.0028904849078563227,0.017483630799259037,0.002427415187790195,0.002506712164968896,0.00029456171059715413,9.965002956432891e-05,0.000813353089798034,0.01862560884287473,0.005727479448781958,1.1864390015749541e-05,0.0022191742416376977,5.65990531102866e-05,0.005361881892202815,0.3855805950375334,0.001921046335315362,0.0063205314597964855,0.0012551675100579034,0.0018545232130300648,0.0037606006873245495,6.982424690619563e-05,0.0011694979260300845,0.03981670078813279,0.0006677035307946235,0.002882286434424895,0.0034634240609618854,0.0019280387869535325,0.0023360242943609917,0.004454039156545796,0.007545745581449044,0.0001509873260273846,0.0009082613819108575,0.6321271928129858,4.940161212421189e-06,0.0011785399007045697,0.21238471195902464,0.002278647475195652,0.24448176302241195,0.007370403714261766,0.3220613095384617,0.02231912666625395,0.0008877298453300828,0.00970446112216661,0.009301568360300199,0.010030064850025758,0.002574129959374765,0.020703811868827575,0.010889344524572471,0.22838638680026435,0.0669575018776611,0.01166215320268327,0.0811595451830748,0.004835576594088496,0.0046157724410309416,0.00712045927103466
AVP,1.9867223884603885e-06,0.00887321492625205,5.748129149182118e-05,0.0006051937801013603,0.00021386464525514117,0.029062940230833067,5.255167123130696e-05,4.908179468623219e-05,2.8116745884453092e-05,1.1760062315577694e-06,2.21234005332259e-05,0.0027105921700932125,2.699874158646821e-05,7.952608563042138e-05,2.8020087306253943e-07,9.224812191184558e-05,3.3816232393737765e-07,0.02124682721323555,0.0007922416379345229,0.04775148095672036,2.989415887369126e-05,0.04596623134296565,0.0011048200183221113,0.00012388011724126478,9.401115388404192e-05,6.473618885635166e-05,0.0005590582221418037,9.306397889922049e-07,0.045019006838127915,2.4340722136019958e-05,0.0003268133790212438,2.4825408385273153e-05,0.0004450294627134842,0.010936541624505039,4.776306434220769e-05,1.3352331403220359e-05,5.646865708648423e-05,1.5163420716576944e-06,2.2458526475432573e-05,0.0005600582453466501,0.03500790779279451,8.057947716559674e-05,6.87422578739554e-05,6.74207221184045e-06,0.001826626556762965,8.336905713086394e-05,8.677327192484134e-06,0.00010826354385641272,2.4322899299367903e-08,4.509723030194069e-05,1.942024680688962e-05,1.4645873105748331e-07,6.2101218304086145e-06,6.377783247311957e-05,0.0001536339523158055,0.00023840602698099028,0.00010266138447432127,0.02936747330638655,0.00015915251354977893
