,PSV,IF,IGL,LT,INC,ADP,VISl6a,DCO,VCO,ISN,KF,LC,LGd,LGv,LAV,APN,SUV,LPO,RT,AVP,VISpl2/3,AVPV,MA,BLAp,SG,SGN,BST,SPFp,SPVI,MPO,ENTm1,SUT,ENTm2,ACVII,NDB,V,NOT,VAL,VI,ENTm3,VM,VLPO,VPL,ENTm5,VPM,ZI,PARN,VISpl4,VISpl5,VISal2/3,ENTl,RSPagl2/3,VISl2/3,PO,GPe,POL,GPi,MGm,PS,DG-mo
PSV,417.13720130978913,0.24861064581852857,0.05708154117747477,0.16141567060540138,13.095483992554126,0.002751580620090472,3.8251533022988233e-08,317.2813403354939,290.4315148966917,0.609660944750585,162.56588002061866,3.851411422326184,0.3735758158637825,0.5412655038650038,78.42530532905467,46.43035697971829,64.81042560999255,1.3643043956868854,4.704706612555422,0.06274664545353925,0.009801086004122446,0.13292481093045203,0.8235241442928716,0.02965691177057233,0.9189368675618932,6.140059231323012,1.2326703156313237,23.635371945317637,97.82986312590657,0.27626957493501236,1.006411875008482,139.72739429362278,0.17959803959500897,1.2020347267633575,3.2176990449504568,83.68997611602337,0.7870395222400535,7.1645109311746635,4.239913016696236,0.005522696033475575,31.12462183806329,0.10895006491703828,43.671245438239986,0.00018088356063535691,170.58207376704362,119.93255540558587,284.66784708185656,1.224070727749211e-09,3.1543937413011e-05,4.780268188342827e-05,1.5776996594686155,0.014291245281624957,0.00026666481013549103,42.33161599648147,2.401750937459201,13.092803049038892,1.3889915460698816,13.706191040734646,0.022287608265685294,9.698037464079563
IF,0.42176328714834627,3.559037716751971,0.014819345875689484,0.008678037970952077,1.7061523877304858,0.17479336991086583,0.0008604391928980844,0.058639672116245795,0.15538433932146786,0.003533572710738767,0.23980601176387079,0.03661428237019388,0.03290163349276996,0.10145821785324473,0.032083182181147626,2.6939110077639192,0.06820219322229176,6.3746991527394306,0.4615136956276872,0.33513442664783194,0.007398937727665082,0.1955940096857885,2.7343455895227096,0.30203894446281965,0.040948779052938915,0.011865920242694087,1.7092500544135945,0.43833449051131357,0.5519172799627657,1.947441794072062,0.40166385063017485,0.8052859775542793,0.40022532873497135,0.009991987841311454,7.810354357176293,0.35977137265273657,0.07386672726068352,0.4981742101362223,0.048266394976640516,0.1486349495652458,2.715920776189338,0.14028565875612528,0.3486567179268721,0.22113361835267673,0.05505648304790458,6.989472754040905,3.3720878510485353,4.783021026934346e-05,0.005381829883157662,0.0022769445032999893,2.1320529166862925,0.05700795525962782,0.0007111009814930822,0.22644420483840694,1.8904989117595001,0.11764891467132113,0.6007855522700607,0.04859178959792841,0.5637138407668323,1.896441041433504
IGL,0.01664184337311295,0.0007835511307460711,0.035860016701904626,0.008282698354328464,0.013532623644617603,2.4942576759816807e-21,6.941044507150338,0.00790501060436775,0.01586046307892406,2.304613836751173e-14,4.7518846727963245e-05,8.990397695017817e-05,28.88115678584816,0.7038635926213905,0.00040375398009182906,0.30514026946357947,3.113776893089509e-05,0.01155809581741611,16.604951305435346,2.392288207677458e-06,0.08631197684603077,0.004366126180240292,0.013871329185715644,0.009366410886505513,8.943323913483459e-06,0.8195669849383425,0.05700805271597033,0.9343858198661895,0.014856730057307067,0.007725041167518139,0.12116833823550943,0.0008064334184703785,0.02079677746557414,2.4120239783703103e-09,0.3054746665652622,6.258491011122518e-05,0.1703228124228083,0.008680504377809348,1.9251224844828696e-06,0.0016579165675954647,0.01880697997133056,0.013151386949985059,5.915983288107396,0.00029313670893744715,7.1449798995277085,4.709819964501996,0.004703515851681045,0.17447398483052015,0.4023209071625041,5.0626818737439665,0.5841377756327815,0.02224936334066022,9.755055399591596,0.58858591662426,5.883362704802099,0.3157408082191425,0.21383465052725834,7.492942542430301,1.4002712471212176e-05,1.2251756455480916
LT,0.029676870411769214,0.018779334777520848,0.0018567740853246565,0.02632395006072482,0.080362747360463,0.01833555583467812,0.004915257331985885,0.005376195078332031,0.005905901801086198,0.0014247560381961456,0.024939909503577058,0.002787664363356431,0.018819814542395258,0.024309614969728846,0.0007519828193000589,1.3768300749090945,0.001558153830913731,0.27264151518959845,1.019370444104711,0.023598396587555543,0.0003869537350593944,0.03748073902548872,0.04430702446483514,0.12441238616739805,0.0003525078970509133,0.511493571311617,1.134985345395676,1.0167800506562508,0.011233107574194766,0.44629803596979345,0.019297409962486328,0.17430463569333626,0.004904272089515742,0.0005693515054217984,0.15846956408814333,0.06608471078083569,0.03187715068148892,0.721346488881454,9.992281994227118e-05,8.638877555887354e-05,1.7579613310714899,0.01701510189498766,0.6732915361507261,0.0004795147282308208,0.6966658274369275,4.506235002722861,0.6510917838337827,6.270163705637483e-07,0.0004556235130096552,0.0003265025018072808,0.03435657692913066,0.0019435703328106529,0.00010757478367318248,0.6417403896899516,1.7890556794086585,1.0967658152652804,0.7198743669193142,0.9765221408646988,0.027206691959838058,0.5545987464814696
INC,0.6191704565198107,1.0775010623811108,0.0500235762199423,0.0130775253294603,2.095256851821125,0.03226916744797834,0.00011750386533098256,0.04355463117519251,0.07422974764337661,0.0026543655378017876,0.2788275093385404,0.050057885423411344,0.10500586804812799,0.21798406494477082,0.04093756711674663,9.455483003871208,0.06270571271881906,2.2861661328339062,0.49270837632404196,0.09425364137504952,0.004647870944919296,0.044013951648036766,0.7706221922262833,0.2837342965456234,0.035642312907813896,0.042726598487063394,0.9497440489601061,0.739053070671477,0.6919316002951211,0.5382794537982805,0.1048802292996908,1.0266975904930722,0.06791435018428985,0.01983391207855639,3.547430670707365,0.33418807616748797,0.22820439255853903,0.8808832315561883,0.17006906210584763,0.018544087892692993,3.389406082011903,0.047274081764520595,0.7162399338808814,0.02591527114263152,0.25720488243810324,10.02271779818938,5.096867032764552,1.164501807265345e-05,0.0006190275088207916,0.00029773515771688554,0.23914290658843143,0.0808039472028981,0.00010458438018261777,0.8846325932490765,0.9501830459654291,0.400106629330108,0.3279635091440016,0.16231092228055663,0.1601453996319116,0.7065790234186516
ADP,0.0012986632199556893,0.7197213215040541,0.003198952493662909,0.012379903178340793,0.01028745874808192,4.2262352834551855,0.0038724906841708408,0.016495739520321583,0.0185704872688432,8.776111184460276e-06,0.0024484103337181935,0.031334244416223005,0.014173654470610777,0.02897173133098323,3.185199565573716e-05,0.07320686212456293,5.9949508285167466e-05,7.235094178441815,0.6895521135158011,3.66173035412738,0.0018717829951872744,6.815617651274207,0.17028085409630583,0.08102390597920157,0.0004608419883583275,0.007846588792547371,19.144981624548247,0.07638497809818934,0.001095088037075567,25.1651073894025,0.022017453384393905,0.05579764915397743,0.021835128035560154,0.0009057856453938224,4.756425794982138,0.011210166189363973,0.002746238793111984,0.033879523241745625,1.7340507586650662e-05,0.020318134375666857,0.3370692416903346,1.5243146031306527,0.05579651785190716,0.04755715614138333,0.008174842999945838,2.820354993069352,0.12128299280602503,9.232290469146661e-05,0.006929840754686425,2.3320478621521276e-06,0.2101126688287038,0.005087833642709143,1.4268076507467118e-05,0.005383338046144024,0.06395307695824512,0.021430178613210518,0.09121250894558205,0.018901053778557234,3.8597790093898383,0.41798553675343303
VISl6a,0.03469259451112674,0.0031580169558102253,5.41432469208879,0.5305468802045283,0.019482934134269447,3.6678828183060823e-05,52.36515958811789,0.10964841969511759,0.20613897774688095,2.1624335862637335e-11,0.022602900691869543,0.0028165677555784204,53.75577918666068,27.906796723724565,0.002814739487497117,27.052829944464534,0.00628738059493077,0.005725618204858517,22.855965379128335,0.00021190136317461523,21.081194964315824,0.02118905447518973,0.004901330304366,0.21551555648224438,0.005025032468858961,4.5767728614687115,0.062050729691157505,0.33497450367744996,0.04928930253666487,0.0042393881819235086,2.1814134528182088,0.008589002455911965,5.770676565654063,0.00026310227808230716,0.4526426403412154,0.0019642375742889785,14.180886350641806,1.1820310846135405,0.001028683086724081,2.1797159560944617,0.43161230325218897,0.016374979733815173,4.5727107160096025,3.464500743082909,5.68314078444573,7.033354151651371,0.059259526547591986,6.5230844465286175,26.723591764790005,21.162566844934855,43.697784695467725,20.65327074832683,60.75450069581857,3.0785589807940976,1.637673558032604,4.154362658618889,0.05666205300319782,3.164515050431719,1.0539683566051614e-11,11.15991971338251
DCO,40.033180174165565,0.014126637981276663,0.015916938780697294,0.0013242747204716397,4.061347094175734,2.9238314378406886e-05,5.447355686965765e-07,92.86092854648948,282.62279408604553,0.6959894688882865,11.07220585809566,0.3174767060237381,0.08172020909270508,0.03270437841988719,165.83497008034726,11.03969010427021,31.758697495171106,0.004539313902578176,1.1248162183866615,0.0010923096875890682,0.0236270018160745,0.0999420198173146,0.008493228502643412,0.0013788181030181062,0.06680145206779235,0.18930195343116776,0.0028286143062773756,3.139547469319639,112.60521525649344,0.0011706696975347962,3.6764391273940276,4.940489452458095,0.7788809532172212,0.1573575023256678,6.980297574406763,6.480464549058206,0.04406536476897254,3.806644435832372,14.684086030558248,0.004694780450144458,7.433554190894404,0.07214628549820314,14.837969133941023,0.0006885430162631655,12.299777254565344,15.668660286124647,140.21552160822944,4.373844059866441e-09,1.066561722028032e-06,4.050289622160177e-08,1.5820747163141495,0.04848766625235249,6.690273802393236e-06,9.930082965914357,0.029728613697508396,1.4097715296158397,0.05502892141360083,1.730358888494351,0.00010627557537293064,27.2373939032768
VCO,40.94387045461745,0.015561495505017342,0.014456630563091254,0.00042677732431985714,0.218598582306628,2.733307591624258e-06,4.2997009698399924e-08,280.7309804333142,894.5629908814906,0.2061236620442856,10.828627515430565,0.023198500751271108,0.18067577774147325,0.004492738580682075,23.70326882205495,1.4837920549796129,21.037817717491418,0.001507267472750806,0.07034905824003569,7.205891120421498e-05,0.012862244785940714,0.29229981798739435,0.0021158121601671685,0.004295433670877943,0.0017686263509323055,0.062249820452400406,0.0009997054178862328,2.631735166216286,16.366646206554936,0.00023406331184713032,7.291801463971834,2.810326997328186,0.9586933301938163,0.027106200274212875,15.59818025840037,4.801006595786646,0.08224684711444412,0.3489694338371588,1.3510146493239703,0.007106272912123902,0.42224399288189135,0.13313385590885357,0.6864870775048908,4.943170399110432e-05,1.3622762061981208,1.3679005698085216,47.03711561508926,3.066637867298557e-10,6.95328739121458e-08,4.920613460854433e-08,2.180487292483471,0.03906607977797985,4.89274570308901e-07,1.1866264728618976,0.007927303510035955,0.29968212872007943,0.11311501244457625,0.24075519629439043,9.342941464192855e-06,60.565297807547786
ISN,1.5164430515891778,0.0031496846711430433,4.009704352441608e-05,0.00017357232266205095,0.07726291300310306,5.736925735522106e-06,5.0663806561531e-08,0.03404241950686013,0.07175565754984149,0.06921955338101983,0.4963027632410899,0.008348455380025101,0.0003247376812887537,0.0005845366274515099,1.119272825427797,0.31682057894256205,0.33675868493484384,0.0005422953921314429,0.012080117242585892,7.399529749344766e-06,5.2170441747448026e-05,0.0005635490486264603,0.000803171172433773,1.8657435736421562e-06,0.0009957214758027416,0.004112851093067282,0.0004950857458242744,0.07870835567808136,2.1044956319638453,9.732980232832765e-05,0.009071125177452734,0.6601836589315841,0.003371665359314589,0.006723616725117779,0.04709765594818437,1.0757628747921038,0.0005165137573039863,0.11079039778403273,0.10935124114079674,0.00012787251238624366,0.12946342683748355,0.000427079086917296,0.13034614854059437,2.85412785025613e-05,0.18428507586320447,0.2719392402068542,8.655750581944648,1.8187117848470605e-09,1.1579442216073711e-07,5.3793161181794e-08,0.016512766929719674,0.00012701631696129128,4.957705686963908e-08,0.24705194861516255,0.0026458686011038043,0.023361248566460845,0.0016217032775551871,0.02771658645025854,1.4211063772991401e-05,0.1441692399122501
