,RT,VPL,VI,NLL,SG,VLPO,IF,ACVII,ZI,PSV,PARN,MG,SGN,V,SPFp,PO,VCO,VPM,SPVI,NDB,LGv,LAV,LT,POL,SPVO,LGd,GPi,SUT,MA,PB,APN,IGL,NOT,VM,VAL,GPe,ISN,SUV,DCO
PARN,1.0426273097568985e-06,1.0973837183863956e-05,0.0003636217134818456,1.1884054910411328e-05,1.8117171675499906e-05,5.831426426907124e-06,4.8416280202783545e-06,0.0008699733778834585,8.796668482089751e-06,0.00024116359567735826,0.0008781223019068352,3.124817135231989e-06,4.4478776694187115e-07,0.0005762033570608964,2.655504527480696e-05,4.9247307253525885e-06,2.269117363159284e-05,8.515048272529385e-07,0.000286896780618656,8.75177005249538e-06,3.397156012336719e-07,0.00036908752367823065,9.284867782615631e-07,3.5511287433668093e-06,0.000568790827780915,1.9059489414535112e-07,1.953976776790604e-06,0.0005515426866610098,8.715567142574213e-07,0.0003337060864126938,1.527478498923143e-05,7.871650249160127e-08,1.7059491073554106e-06,1.1871131098565902e-05,8.760273958901565e-06,4.416766842555027e-07,0.0010792511048859704,0.00014475020423131206,1.4942675708978473e-05
MG,0.000503780356134901,0.0009245145381440008,5.322318780037473e-08,2.403913520577424e-07,6.178686201820861e-07,2.4584591988119126e-05,1.416501858517818e-06,3.1218863493822284e-09,0.0003831643633820908,8.881766144077771e-09,7.8332405927373e-09,0.004315540837130966,0.0010412764911101352,4.222730473248755e-09,0.0009418509747876484,0.00014310161667734637,1.6636292332208267e-07,0.00038476051260265726,2.927795568719025e-09,3.307341856552943e-05,3.3759925416011765e-05,1.9453682910448501e-07,8.132832708629618e-05,0.0003196813394256773,1.2409437680930345e-09,0.00018203314532807562,7.278083940969249e-05,2.7159101056105488e-08,6.1602001971204274e-06,9.733832565970703e-08,3.3960403805053983e-05,1.5780950214348894e-05,2.624167158816693e-05,3.81370778266421e-06,1.5647892066519569e-06,0.0005942850491020673,3.058960053866106e-20,5.54927613718416e-09,3.5937042184287445e-07
SGN,0.0005119297700152825,0.00038065918706051095,3.3962529621887216e-07,7.76369915071724e-07,3.9463242458828036e-06,5.466159833952039e-06,6.547978594685897e-07,1.8211387036956297e-08,0.00016149211303353523,1.8383119744032492e-09,7.864998073532215e-09,0.0016297131863472912,0.004472784571009192,2.5942436442955746e-08,0.00027788956003040255,0.0002315106984783017,1.6071373970857416e-07,0.0002794749374231397,2.0548781907441282e-09,1.2348004162919773e-05,0.00013040477037901376,9.955362164471216e-08,8.884884257581772e-05,0.0010766075138446273,3.3321748282504587e-09,0.0004015030098600672,2.1868696775878346e-05,1.7348531645188125e-07,1.592088763785494e-06,3.0097233349677637e-07,0.00011287416971036684,3.413510050380213e-05,0.00010912426370609676,7.5982822021315935e-06,3.3302804804733936e-06,0.0002455671235362772,5.469856047999216e-24,3.0745915617990234e-08,2.0818460528656454e-07
V,2.0346103040217404e-06,8.08492622741359e-06,0.00031469906682953164,0.00040311881181947563,0.00014998884724371623,5.574501211338143e-06,7.030967910804355e-06,0.0006972156758353313,3.984155795715794e-05,0.0010317414970650574,0.0002641377711287055,3.3668026507974794e-05,6.307214183890619e-05,0.0005873867483443437,0.00013347854656099362,9.671966637465416e-06,0.0007032895452277051,8.688714235129848e-06,0.00013040728115718851,7.4430006581012266e-06,1.940957102909854e-06,0.00046100250769871484,1.8411792371805536e-05,0.000121545032380655,0.00020661886325918646,3.1285006938085014e-07,5.927351088986771e-06,0.0015126213712773572,2.52235693066327e-06,0.0009205435181809473,5.1569641048921005e-05,7.443105085619907e-07,2.6468652979778028e-06,3.55332685288961e-05,1.125444402237401e-05,4.2409453360868984e-06,0.0001493856007138206,0.0003733522138679686,0.0014277386024572564
SPFp,0.0004820338595914241,0.0012510999888203766,6.520895445837815e-09,4.14433266086449e-08,8.252294794998225e-08,1.6936386347155885e-05,2.085799545057937e-06,5.2464537731143205e-08,3.2548234833958256e-05,1.865448823423826e-09,2.3590212512204926e-08,0.00026077811705467127,1.164428513364362e-05,8.681932516454597e-09,0.00010313226208682409,0.0008247613219498209,5.944042170105815e-07,0.001556818662471485,1.2485144478644136e-08,3.539058658080229e-05,1.1910722440658014e-06,5.3246443125587396e-08,3.821974520468858e-06,9.47889659231795e-06,1.0458193371002317e-09,9.216414373035105e-07,4.678369595240449e-05,3.3147531080469724e-08,4.7261949427879975e-06,1.2247214019092966e-07,3.53293583132589e-06,1.0752650518064159e-06,5.872393850166065e-06,9.330441196453299e-05,0.00012693867060492646,0.0006020563416895777,1.6564037344553114e-11,1.2434040211212834e-09,1.990587666777105e-07
PO,0.0005174388942163546,0.0006135646005461218,5.826517145779333e-07,2.3327540268746709e-07,6.8054857694159015e-06,1.4106274193462296e-05,4.673920531479418e-06,6.496889200032397e-07,6.179959966472643e-05,9.612271754173727e-08,2.142946940398868e-07,2.5343580784558648e-05,2.5222922641576197e-05,1.3789695908445574e-07,7.290969733410966e-05,0.0015564095437902922,1.2521087615425938e-06,0.000757203569780746,5.7883220280745696e-08,1.830862801240139e-05,2.2562915421163865e-05,1.1447625239907182e-07,1.0586655463079131e-05,0.00011072769658818684,2.2677538408963387e-08,7.654621167018342e-05,1.81533158699589e-05,6.407095388384425e-07,3.756120696756908e-06,8.562429886713526e-07,8.962985519235514e-05,1.9471005025012274e-05,1.8962983749123865e-05,0.00010983373872791544,0.0002206338468603691,0.00017053057286829749,1.890272195537085e-11,6.773912719875359e-08,8.850167765195824e-07
VCO,1.4135992461275814e-07,1.2726680047758177e-06,0.0001491444325593462,7.219453722164928e-05,4.5237295501764575e-07,3.574929486967428e-06,1.8273890042291115e-07,1.6174682438435475e-05,3.8216079109790757e-07,7.879486619360277e-05,4.922037593028688e-05,1.0971309210511044e-05,9.296080086256231e-07,3.8615716395783545e-05,5.6910474440028783e-05,4.832346156233307e-07,0.0031147973782710433,5.622019175255104e-08,2.3091441064162037e-05,3.3899372491671285e-05,1.4250564298620198e-08,0.0003160670486779272,1.821530205837255e-08,1.9477702728006521e-07,4.301416929760899e-05,9.654766216866315e-07,6.358144377799088e-08,2.0974633150386788e-05,1.5972687933470714e-08,5.439945345536197e-05,6.82843328133729e-07,7.897636371974394e-07,1.4892658128974483e-06,7.667330473798891e-07,6.936049452045189e-07,7.718760578810676e-09,7.009704531433672e-05,0.0002347062694018993,0.001645390390178516
VPM,0.0006440921892415535,0.0009294773626576331,8.534083348442657e-08,6.28001061757225e-08,1.0467967664776804e-06,6.159970878682871e-06,8.870096610110386e-07,9.313363103758122e-07,1.7498473674867193e-05,1.3771886215566665e-07,4.368576393230511e-07,1.410637152697034e-05,5.9504319205226765e-06,1.4209924823224427e-07,3.1811789091408715e-05,0.0006315471076316295,2.8124552118886032e-06,0.0014447649789126329,7.311453361967173e-08,1.0271232986731996e-05,1.2281110137833635e-05,4.8330572894610795e-08,2.167845139125244e-06,1.8193601050705595e-05,3.902144801516532e-08,0.00014351850763465293,3.2596502961253115e-05,7.377939085994548e-07,1.780180391666842e-06,7.543213301865777e-07,1.1563564087892976e-05,7.484558769543779e-06,5.963935658214414e-06,0.0001423161442479627,0.0004663252059135822,0.00022954079939280792,1.203782494703964e-13,5.385967075129242e-08,1.06799189244592e-06
SPVI,1.8727443869605754e-07,7.881529927753013e-07,2.852576860729956e-05,1.6853642206939818e-05,4.635763082784615e-06,3.341473532375945e-06,5.956843915950814e-07,0.0003604600974065218,2.376605474525464e-06,0.0006987606914560839,0.001004810972911276,2.176061041531769e-06,4.6960391557864456e-07,0.00034096295624550465,4.127237335770549e-06,5.477446898401205e-07,2.554623289083314e-05,1.3850445492614375e-07,0.0011910612777010195,5.4958917482227895e-06,9.742967757181675e-08,6.891438465982252e-05,5.53075122914819e-07,3.257104743665107e-06,0.0009814391838122909,1.4354660237645235e-07,5.91604104751635e-07,0.00037021992063323927,2.416207815296203e-07,0.0003904544975126768,2.5422212125380763e-06,2.6188487468269267e-08,7.197690189338821e-07,2.1317999877479747e-06,1.291814767942195e-06,1.723463663365106e-07,0.0009972418289893408,2.107882131608821e-05,2.1682258779151e-05
NDB,4.778240201666485e-05,3.3111451337673544e-07,3.5979535308363827e-07,3.283404591442846e-08,2.817133104735652e-06,0.0002851420091101826,0.00016734783620679208,2.1682094828940812e-08,4.304427985660481e-05,1.4910668237845482e-08,2.3250015938102088e-07,5.466612465490429e-07,4.413615967071773e-08,1.1168213672759117e-07,2.2152594647200323e-06,3.9266703447112944e-08,3.888121071505742e-07,3.484347102555047e-08,8.433047922306079e-09,0.0006840826533006706,5.135093312549761e-06,1.0487203111322854e-08,1.5689049612999268e-05,1.006192858188002e-07,7.114900425158437e-09,7.261750852326226e-07,4.278786370089345e-06,5.895694876126277e-07,0.0010353218373829244,2.8932080362796103e-06,1.6863401560357813e-07,6.679900089278943e-07,2.930152779654893e-07,2.468816621953533e-05,1.6169195448435888e-06,3.608488988099073e-06,8.384626585142324e-07,3.3967765109704838e-09,9.624708839189973e-08
